region,tier,division,summonerId,puuid
euw1,EMERALD,I,UzQzBp_OyE1TXjjp5lAJyEdNX7a0cJ20_JYWkRy-U6hiTZr-,HBhg3B-g8zUldKaJFaO53hEXeCGPYPfN81tpA13Vh3wX31CuvIThXcFDi6LXPXtPXENTBdfvLHrRyA
euw1,EMERALD,I,8dBOCRj2hGLpktZS4h-9jjExlq2H9RNYW_5LHpuYFGzZYgtG,5wPhRrLS0TRXOM6DZz5tF8SabvklEA_bQnnM52E3TplwGymNgZ5pSNHgLrCnVBmBrn3YdhovQtpzNA
euw1,EMERALD,I,vAaIkUZS5rdvAoFGYGGPXt1IxYDyipKIhqOnnUPIxnaJdPWg,gbKp2GCEvkwOiO6LFvnqkxogYqIqZZ4hxHcVfm72mMbZbnQKBJqdSwhWHcLSLEaS7uFBEu3Hv8d3uw
euw1,EMERALD,I,IXo_dtaCiH3DsVHOc4XPhAz5c0Kvy2XFGtTF-IELCuo9JEd_,gm2EW0xl4s5Qeef6PYiX7xLf730GTnvOgDc9sjtqBc0y7MH-UnGHPBBlhNCk6xo8dX-vQ6xJXkentw
euw1,EMERALD,I,m7XvSv4TTB5wmzVORuwla5SEsnZhovr-hg6F9JwA7_s9a-mP,MY5MIq_FhYtdW_aSXLaXPCCtwVpM9LZe7KPOufdMaHthFShSG2T07cJ50nySE4QQMCTfJieOU7QEsA
euw1,EMERALD,I,egZTSD1qTFZJiSAwEPb_ScYv6hS5zOEu3-rvdMYinQMCknAg,pGXEqURUlt-iysrWopbnFTlKx6sSfgqauoR56mB1RNtUgiQkYCYOOD3UjgZpSXMycSOCX0-8SFGGoA
euw1,EMERALD,I,-zH81Lu8Jar6x0GpIv-IV6PW5UJTYYR5szgyvnuYiy32VzRz,QLvfswPyUlLhJd2cu72xxWUJj6UDGB-7g_VaDADlQLb84DFLX5SsoAhI5rmHFIR8GjjWGqk1wlqiAQ
euw1,EMERALD,I,Fui9TrnyH4md3pwafH-A5EKolEL09k_BUl5jCcSgSuM2xtkf,G4K-yu5Lr9XmHuz8D776SPh6VcJaoTQJWydLXp_xr0hrsypAj5HoKWzNCemq0FJJwe21xOvmEVLDoQ
euw1,EMERALD,I,OysBTNDxRz2NASg82FG2aHFo3pnSc6OMr55wMOvr3C0YkuhP,S3xfAjfilbicZkwEHLmGIvVRp01ynjIA1oIrH13qai0iSeeUwqtMxbxYqofAv6ZqdVULyzLpktghkg
euw1,EMERALD,I,vI114t11kI7HMS7mNMOUNHpYziTHtiU6dmIJhD-Z42oK0n-c,Ucb7ybXNidtCHcaLtYKgBHByTkLRplg_A8Q_4CRos7cgNIg5-tBXKQNgSjmUJF5jB4tOSHl3vfbG1A
euw1,EMERALD,I,cDCakCPoL1EOzIlD0UpeZ22-sQbDJGdU804N_kiHpZebIiIU,OBGm2zsgb1UjtnxFAeRA-orKo7FoD_FZvkbVxvkzFnuHN2GLBerxF3tbZq8EoN_52BnStH73y-uZRQ
euw1,EMERALD,I,r3pEqxxEG6tpCVZCzqQCxefLvRcA8aflQc9_V7H_BwofSN2y,cFe-6QYIVBCiX3teIm21tv_5s8zBeybrSd2LzX4-zx8WzdVw-KXKYLMPdAjOcHbKnDhqkN9oIHOIsQ
euw1,EMERALD,I,meetfoVxEbwVgzpLpJRFibkd7OikzLUC90JnJBu_YQ59VW9j,ZQYYCX4pHAYrTqP9dnLYuzwgM52Ia914EWhgeo7-XZE7YjMd3l6Y9ubs4CGfJJdO5LDTVamC_wa8nA
euw1,EMERALD,I,p5v6ZtmZe7Y_qgTKQ1JhQRg7UcMT1wI9fCXgaMhmWdPtmLWx,46vxdJUNS5gXDOHxoVJAt9yU1svY5HXI3kEKlhvx9OvzmBgOirl4GGOxLEqA-ZSEZ_dgLEXfFjdAEA
