champion_id,region,tier,games_played,wins,avg_kda,avg_damage_dealt,avg_gold_earned,avg_cs,avg_vision_score,win_rate,pick_rate,ban_rate
893,kr,DIAMOND,18,7,2.21,27142.67,11433.56,187.28,27.56,0.3889,0.0156,0.033
893,kr,EMERALD,8,4,1.52,17684.5,8807.75,165.63,17.13,0.5,0.0072,0.1158
893,kr,GOLD,1,1,5.0,19333.0,11919.0,217.0,23.0,1.0,0.0009,0.0591
893,kr,PLATINUM,3,1,4.98,20258.67,11020.0,195.67,20.33,0.3333,0.0026,0.1395
893,na1,DIAMOND,10,7,4.24,23931.9,11000.4,184.4,10.2,0.7,0.0087,0.0554
893,na1,EMERALD,3,1,6.38,22267.33,9424.0,138.67,13.67,0.3333,0.0027,0.0875
893,na1,GOLD,6,5,3.69,33569.83,13316.17,188.17,23.0,0.8333,0.0057,0.0552
893,na1,PLATINUM,47,22,4.19,31747.87,12113.34,164.49,20.3,0.4681,0.0419,0.066
895,euw1,PLATINUM,11,6,2.32,20544.45,14121.36,220.45,13.45,0.5455,0.0096,0.055
895,kr,GOLD,2,1,3.69,20176.0,12873.5,216.0,21.5,0.5,0.0018,0.0065
895,na1,EMERALD,17,10,3.37,21845.18,12728.82,194.47,15.41,0.5882,0.015,0.0362
897,eun1,EMERALD,4,0,0.99,20753.5,9979.75,177.0,11.5,0.0,0.0035,0.0617
897,eun1,GOLD,2,0,0.78,15325.0,6819.5,131.0,11.0,0.0,0.0019,0.0307
897,eun1,PLATINUM,1,0,0.8,20532.0,8814.0,151.0,4.0,0.0,0.0009,0.0279
897,euw1,DIAMOND,18,10,6.04,16955.11,9777.06,159.44,13.0,0.5556,0.0156,0.0478
897,euw1,PLATINUM,7,2,2.3,22368.86,11354.14,198.57,17.57,0.2857,0.0061,0.0323
897,kr,DIAMOND,1,0,0.4,7178.0,4294.0,77.0,6.0,0.0,0.0009,0.0486
897,kr,EMERALD,1,0,1.92,30319.0,12394.0,143.0,21.0,0.0,0.0009,0.0516
897,kr,GOLD,33,11,2.36,18578.7,10585.0,173.24,23.06,0.3333,0.0305,0.037
897,na1,DIAMOND,7,1,1.27,18051.29,10511.29,178.71,9.14,0.1429,0.0061,0.032
897,na1,EMERALD,6,3,2.2,22771.83,11138.83,175.67,14.83,0.5,0.0053,0.0389
897,na1,GOLD,2,2,4.14,21071.5,11761.0,141.0,35.5,1.0,0.0019,0.0324
897,na1,PLATINUM,7,4,2.83,39345.57,14958.57,207.43,10.57,0.5714,0.0062,0.0267
901,eun1,EMERALD,17,9,2.73,27169.29,12682.65,228.41,16.06,0.5294,0.0148,0.0226
901,eun1,PLATINUM,1,1,1.43,40344.0,17647.0,272.0,21.0,1.0,0.0009,0.0445
901,euw1,DIAMOND,16,6,2.14,18933.0,10355.31,197.31,15.25,0.375,0.0139,0.0339
901,euw1,EMERALD,5,5,7.34,24218.4,11466.4,206.8,10.6,1.0,0.0046,0.0237
901,euw1,GOLD,2,0,1.01,15570.5,10010.5,179.5,10.0,0.0,0.0018,0.0266
901,euw1,PLATINUM,1,0,0.5,16253.0,11194.0,244.0,20.0,0.0,0.0009,0.0358
901,kr,DIAMOND,5,3,4.13,22729.8,11014.6,212.8,20.4,0.6,0.0043,0.0564
901,kr,EMERALD,3,3,3.9,36178.0,14630.33,241.0,18.33,1.0,0.0027,0.0335
901,kr,GOLD,7,3,2.84,32038.14,13704.0,243.71,23.57,0.4286,0.0065,0.0638
901,kr,PLATINUM,20,9,4.45,25398.85,11684.55,209.3,13.45,0.45,0.0177,0.075
901,na1,DIAMOND,6,3,3.01,34544.17,13049.33,230.0,20.67,0.5,0.0052,0.0363
901,na1,EMERALD,5,2,2.85,24169.0,9751.6,188.0,14.2,0.4,0.0044,0.0292
901,na1,GOLD,16,9,4.52,23798.63,11424.38,205.5,15.13,0.5625,0.0152,0.0486
901,na1,PLATINUM,1,1,1.78,29018.0,13260.0,247.0,12.0,1.0,0.0009,0.0579
902,eun1,DIAMOND,12,6,3.41,6840.58,7583.17,24.08,67.25,0.5,0.0104,0.0583
902,eun1,EMERALD,7,4,5.14,6398.29,7981.71,25.86,58.57,0.5714,0.0061,0.0757
902,eun1,GOLD,5,2,4.86,9081.6,8482.8,29.0,75.0,0.4,0.0047,0.0307
902,eun1,PLATINUM,26,14,5.26,6557.92,7765.23,29.35,62.5,0.5385,0.0227,0.0428
902,euw1,DIAMOND,12,6,3.43,5684.75,7677.0,19.58,61.67,0.5,0.0104,0.0226
902,euw1,EMERALD,4,0,2.58,5519.0,6643.75,25.25,52.75,0.0,0.0036,0.0438
902,euw1,GOLD,2,1,4.07,13765.0,12861.0,48.5,104.0,0.5,0.0018,0.0364
902,euw1,PLATINUM,25,11,4.7,6589.32,7217.56,26.68,62.2,0.44,0.0218,0.0602
